[   0 ,    0  97   3] 时隙: 0-------------------------------------------------------------------------------
[   0 ,  284 937 643] high freq  285000   114
[   0 ,  287 436 295] high freq  287500   115
[   0 ,  289 936 233] high freq  290000   116
[   0 ,  292 454 190] high freq  292500   117
[   0 ,  294 932 710] high freq  295000   118
[   0 ,  297 432 118] high freq  297500   119
[   0 ,  299 932 285] high freq  300000   120
[   0 ,  299 956 738] 时隙:15-------------------------------------------------------------------------------
[   0 ,  302 454 500] high freq  302500   121
[   0 ,  304 937 520] high freq  305000   122
[   0 ,  307 436 513] high freq  307500   123
[   0 ,  309 936 253] high freq  310000   124
[   0 ,  312 453 195] high freq  312500   125
[   0 ,  314 932 780] high freq  315000   126
[   0 ,  317 432 195] high freq  317500   127
[   0 ,  319 934 478] high freq  320000   128
[   0 ,  319 972 968] 时隙:16-------------------------------------------------------------------------------
[   0 ,  322 453 135] high freq  322500   129
[   0 ,  324 937 635] high freq  325000   130
[   0 ,  327 437 190] high freq  327500   131
[   0 ,  329 936 385] high freq  330000   132
[   0 ,  332 457 898] high freq  332500   133
[   0 ,  334 932 113] high freq  335000   134
[   0 ,  337 432 140] high freq  337500   135
[   0 ,  339 932 105] high freq  340000   136
[   0 ,  339 955 928] 时隙:17-------------------------------------------------------------------------------
[   0 ,  342 455  83] high freq  342500   137
[   0 ,  344 937 518] high freq  345000   138
[   0 ,  347 436 500] high freq  347500   139
[   0 ,  349 935 673] high freq  350000   140
[   0 ,  352 452 708] high freq  352500   141
[   0 ,  354 932 803] high freq  355000   142
[   0 ,  357 431 940] high freq  357500   143
[   0 ,  359 932 298] high freq  360000   144
[   0 ,  359 956 125] 时隙:18-------------------------------------------------------------------------------
[   0 ,  362 454  93] high freq  362500   145
[   0 ,  364 938 115] high freq  365000   146
[   0 ,  367 436 238] high freq  367500   147
[   0 ,  369 938  28] high freq  370000   148
[   0 ,  372 454 110] high freq  372500   149
[   0 ,  374 932 370] high freq  375000   150
[   0 ,  377 432 390] high freq  377500   151
[   0 ,  379 931 593] high freq  380000   152
[   0 ,  379 955 103] 时隙:19-------------------------------------------------------------------------------
[   0 ,  382 454 883] high freq  382500   153
[   0 ,  384 936 940] high freq  385000   154
[   0 ,  387 437 690] high freq  387500   155
[   0 ,  389 936 420] high freq  390000   156
[   0 ,  392 453 103] high freq  392500   157
[   0 ,  394 932 273] high freq  395000   158
[   0 ,  397 431 535] high freq  397500   159
[   0 ,  399 931 938] high freq  400000   160
[   0 ,  399 955 378] 时隙:20-------------------------------------------------------------------------------
[   0 ,  402 454 750] high freq  402500   161
[   0 ,  404 937 923] high freq  405000   162
[   0 ,  407 436 483] high freq  407500   163
[   0 ,  409 936 315] high freq  410000   164
[   0 ,  412 453   8] high freq  412500   165
[   0 ,  414 932 588] high freq  415000   166
[   0 ,  417 431 923] high freq  417500   167
[   0 ,  419 933 595] high freq  420000   168
[   0 ,  419 958 610] 时隙:21-------------------------------------------------------------------------------
[   0 ,  422 453 515] high freq  422500   169
[   0 ,  424 937 863] high freq  425000   170
[   0 ,  427 436  23] high freq  427500   171
[   0 ,  429 935 965] high freq  430000   172
[   0 ,  432 453 778] high freq  432500   173
[   0 ,  434 932 408] high freq  435000   174
[   0 ,  437 431 680] high freq  437500   175
[   0 ,  439 931 770] high freq  440000   176
[   0 ,  439 955 533] 时隙:22-------------------------------------------------------------------------------
[   0 ,  442 451 705] high freq  442500   177
[   0 ,  444 937 543] high freq  445000   178
[   0 ,  447 436 143] high freq  447500   179
[   0 ,  449 936 290] high freq  450000   180
[   0 ,  452 452 398] high freq  452500   181
[   0 ,  454 932 705] high freq  455000   182
[   0 ,  457 432 360] high freq  457500   183
[   0 ,  459 931 670] high freq  460000   184
[   0 ,  459 955  20] 时隙:23-------------------------------------------------------------------------------
[   0 ,  462 457 345] high freq  462500   185
[   0 ,  464 937 395] high freq  465000   186
[   0 ,  467 436 550] high freq  467500   187
[   0 ,  469 937 975] high freq  470000   188
[   0 ,  472 453 175] high freq  472500   189
[   0 ,  474 932 210] high freq  475000   190
[   0 ,  477 431 743] high freq  477500   191
[   0 ,  479 931 738] high freq  480000   192
[   0 ,  479 956  48] 时隙:24-------------------------------------------------------------------------------
[   0 ,  482 453 673] high freq  482500   193
[   0 ,  484 938 215] high freq  485000   194
[   0 ,  487 437 118] high freq  487500   195
[   0 ,  489 940 798] high freq  490000   196
[   0 ,  492 454 695] high freq  492500   197
[   0 ,  494 932 643] high freq  495000   198
